title,summary,text,language,link,ilr_quantized,ilr_range,ilr_regressed
موعد مباراة إيطاليا وسويسرا في ثمن نهائي يورو 2024 والقنوات الناقلة,نستعرض في السطور التالية موعد مباراة إيطاليا ضد سويسرا في الدور ثمن النهائي لبطولة يورو 2024 لكرة القدم، والقنوات الناقلة للمباراة الأولى في الأدوار الإقصائية للبطولة المقامة في ألمانيا.,"() ()
2024 .
 29 / .
 19:00 .
 "" "" 2024 4 :
<ul><li>beIN Sports HD 1 Max</li><li>beIN Sports HD 2 Max</li><li>.beIN Sports HD 3 Max</li><li>beIN Sports HD 4 Max</li></ul>.",Arabic,https://www.aljazeera.net/sport/2024/6/26/uefa-euro-2024,1.0,"[0.7698419510133958, 1.383596748311007]",1.0767193496622014
موعد مباراة تركيا والنمسا في ثمن نهائي يورو 2024 والقنوات الناقلة,تلعب تركيا مع النمسا في ثمن نهائي بطولة أمم أوروبا لكرة القدم المقامة حاليا في ألمانيا وتستمر حتى 14 يوليو/تموز الجاري.,"() ()
14 / .
 "" "" 1- 3-1 3-2 .
list of 2 itemslist 1 of 2
list 2 of 2
end of list
 .
 6-1 / 2008 .
 10 16.
 8.
/ 14 / . .
 .
 "" "" 2024 :
<ul><li>beIN Sports HD 1 Max</li><li>beIN Sports … ",Arabic,https://www.aljazeera.net/sport/2024/7/2/%d9%85%d9%88%d8%b9%d8%af-%d9%85%d8%a8%d8%a7%d8%b1%d8%a7%d8%a9-%d8%aa%d8%b1%d9%83%d9%8a%d8%a7-%d9%88%d8%a7%d9%84%d9%86%d9%85%d8%b3%d8%a7-%d9%81%d9%8a-%d8%ab%d9%85%d9%86-%d9%86%d9%87%d8%a7%d8%a6%d9%8a,1.0,"[0.7091466710580703, 1.4847555482365495]",1.09695110964731
موعد مباراة إيطاليا وكرواتيا في يورو 2024 والقنوات الناقلة,"في الجولة الأخيرة من دور المجموعات لكأس أمم أوروبا 2024، يلتقي منتخبا إيطاليا وكرواتيا -الليلة الساعة 22:00 بتوقيت مكة المكرمة- في إحدى قمم المجموعة الثانية والتي استحقت لقب ""مجموعة الموت"".","22:00 ()
24/6/2024-| : 24/6/202403:22 ( )
2022 -- .
 2-1 1-1 .
list of 2 itemslist 1 of 2
list 2 of 2
end of list
 .
        2024 ()
 : "" "".
: "" "".
 2023 (38 ) .
 ()
"" "".
 "" "".
"" "" 24 … ",Arabic,https://www.aljazeera.net/sport/2024/6/24/%d9%85%d9%88%d8%b9%d8%af-%d9%85%d8%a8%d8%a7%d8%b1%d8%a7%d8%a9-%d8%a5%d9%8a%d8%b7%d8%a7%d9%84%d9%8a%d8%a7-%d9%88%d9%83%d8%b1%d9%88%d8%a7%d8%aa%d9%8a%d8%a7-%d9%81%d9%8a-%d9%8a%d9%88%d8%b1%d9%88-2024,1.5,"[0.49195084708482306, 2.104829491749106]",1.2983901694169646
موعد مباراة البرتغال ضد سلوفينيا في يورو 2024 والقنوات الناقلة,نسلط الضوء في السطور التالية على موعد مباراة منتخب البرتغال ضد نظيره السلوفيني، اليوم الاثنين، في الدور ثمن النهائي لبطولة كأس أمم أوروبا (يورو 2024) لكرة القدم.,"2024 ()
30/6/2024-| : 30/6/202411:41 ( )
( 2024) .
 .
list of 2 itemslist 1 of 2
list 2 of 2
end of list
 1 .
 22:00 .
( ) 2024 4 :
<ul><li>beIN Sports HD 1 Max.</li><li>beIN Sports HD 2 Ma… ",Arabic,https://www.aljazeera.net/sport/2024/6/30/portugal-v-slovenia-ronaldo,1.0,"[0.8935815016702604, 1.1773641638828993]",1.0354728327765799
شركة Corsair تكشف عن كرسي TC500 LUXE E-Sports مقابل 499.99 دولار,"هذا الموضوع شركة Corsair تكشف عن كرسي TC500 LUXE E-Sports مقابل 499.99 دولار ظهر على التقنية بلا حدود.
تتنافس العديد من العلامات التجارية مثل Secretlab و Razer على التفوق في قطاع كراسي الرياضات الإلكترونية. ولتوفير منافسة قوية في السوق، أطلقت شركة Corsair كرس…","Secretlab Razer . 
 Corsair TC500 LUXE. 
 499.99 ( 3635 ).
 90 160 . . 
Omniflex. 
 90 160 . TC500 LUXE : . .",Arabic,https://www.unlimit-tech.com/2024/07/%d8%b4%d8%b1%d9%83%d8%a9-corsair-%d8%aa%d9%83%d8%b4%d9%81-%d8%b9%d9%86-%d9%83%d8%b1%d8%b3%d9%8a-tc500-luxe-e-sports-%d9%85%d9%82%d8%a7%d8%a8%d9%84-499-99-%d8%af%d9%88%d9%84%d8%a7%d8%b1/,1.5,"[0.7243837546721041, 1.9653697471967375]",1.3448767509344208
حفيظ دراجي يرد على انتقاده بسبب طريقة التعليق على بكاء رونالدو,"رد المعلق الجزائري لقنوات ""Bein Sports"" حفيظ دراجي على الانتقادات التي تعرض لها بسبب تعليقه على بكاء رونالدو في مباراة البرتغال وسلوفينيا بدور الـ16 لكأس أمم أوروبا.",,Arabic,https://arabic.cnn.com/sport/article/2024/07/04/hafid-darraji-responds-criticism-commentary-ronaldo-crying,1.5,"[0.738110566793708, 1.9571336599237752]",1.3476221133587416
سامسونج تكشف عن Galaxy Watch Ultra و Galaxy Watch 7,في مؤتمر Unpacked اليوم، كشفت سامسونج عن أحدث إضافاتها لعالم الساعات الذكية، وهما Galaxy Watch Ultra و Galaxy Watch 7 بالتزامن مع إطلاق خاتم Galaxy Ring والهواتف القابلة للطي Galaxy Z Fold 6 و Z Flip 6. يأتي هذا الإعلان ليؤكد التزام سامسونج بتطوير وتحسين منتج…,"Unpacked Galaxy Watch Ultra Galaxy Watch 7 Galaxy RingGalaxy Z Fold 6 Z Flip 6.
 .
Galaxy Watch Ultra: 
Galaxy Watch Ultra .
 Super AMOLED 1.5 480×480 .
 Galaxy Watch Ultra
<ol><li> : .</li><li… ",Arabic,https://www.tech-wd.com/wd/2024/07/10/%d8%b3%d8%a7%d9%85%d8%b3%d9%88%d9%86%d8%ac-%d8%aa%d9%83%d8%b4%d9%81-%d8%b9%d9%86-galaxy-watch-ultra-%d9%88-galaxy-watch-7/,1.5,"[0.36080232778569177, 2.1835186033285847]",1.2721604655571384
هل العالم على مشارف نهاية التاريخ؟,يقول تيم مارشال إن تعبير جيوسياسة لم يعد كافيا لتوصيف طبيعة الصراعات في الأرض، ولذلك دخل مصطلح الأستروسياسي، بعد أن أصبح التحكم في الفضاء أحد ملاعب التنافس والصراع.,""" "" "" "" ""- "" "" "" "" "" "" "" "" "" "" "". "" "" (Paul Virilio) "" "" / 1997.
 . "" "". """" """" (geo) """" (graphy) 
 "" "" "" "" (The World is Flat) . """" .
 """" (Geopolitical) """" (Geopoetic) . "" "" (Tim Marshall) "" "" (Th… ",Arabic,https://www.aljazeera.net/opinions/2024/7/17/%d9%87%d9%84-%d8%a7%d9%84%d8%b9%d8%a7%d9%84%d9%85-%d8%b9%d9%84%d9%89-%d9%85%d8%b4%d8%a7%d8%b1%d9%81-%d9%86%d9%87%d8%a7%d9%8a%d8%a9-%d8%a7%d9%84%d8%aa%d8%a7%d8%b1%d9%8a%d8%ae,2.0,"[1.905068815533915, 2.1582186407768083]",2.0316437281553617
فلسطين والنِّكروبوليتيكس: هل يملك أحد الحق في قتلنا؟,يتعمد الاحتلال الإسرائيلي بناء وتشكيل بيئة عنف بصري وجسدي وفرضها على الفلسطينيين طوال الوقت في حياتهم اليومية، ويعتبرها ضرورة لاستدامة سيطرته على الأرض والأجساد معا.,""" .. .. .. .. .. "".
.
 17 / 2023 . () 3000 . 38 270 .
list of 2 itemslist 1 of 2
list 2 of 2
end of list
 . : "" "". : "" "" .
 ()
. . (Book of Exodus) ( ) .
 . .
 "" "" . "" "" "" "". "" "".
 ""Necro … ",Arabic,https://www.aljazeera.net/politics/2024/7/4/%d9%81%d9%84%d8%b3%d8%b7%d9%8a%d9%86-%d9%88%d8%a7%d9%84%d9%86%d9%83%d8%b1%d9%88%d8%a8%d9%88%d9%84%d9%8a%d8%aa%d9%8a%d9%83%d8%b3-%d9%87%d9%84-%d9%8a%d9%85%d9%84%d9%83-%d8%a3%d8%ad%d8%af,1.5,"[0.8728754823587368, 1.876274710584758]",1.3745750964717474
كيف تحول قماش ارتداه العمال الهنود إلى رمز الفخامة بأمريكا؟,"أصبح قماش ""مدارس""، الذي كان يرتديه في الأصل العمال الهنود، عنصرًا أساسيًا في الأزياء الأمريكية خلال مرحلة الستينيات.","(CNN)-- """" . 
 "" "" "" "" .
 .
 .
( ) """" ""Mad Men"" 2012.
Credit: AMC/Everett Collection
1958 .
 CNN ""Capture the Dream: The Many Lives of Captain C.P. Krishnan Nair"" : "" . "". 
: "" "".
 """" .
 .
… ",Arabic,https://arabic.cnn.com/style/article/2024/06/19/india-madras-fabric-us-fashion,1.5,"[1.1964557710362131, 1.6821265373782721]",1.4392911542072426
موعد مباراة البرتغال وتركيا في يورو 2024 والقنوات الناقلة,تتواجه البرتغال مع تركيا في قمة كروية مثيرة ضمن الجولة الثانية للمجموعة السادسة ببطولة أمم أوروبا لكرة القدم 2024.,"2024.
 "" "" .
list of 2 itemslist 1 of 2
list 2 of 2
end of list
 3-1 2-1 .
 "" ( ) "".
 5 .
 .
  "" "" 19:00 .
 "" "" 2024 :
<ul><li>beIN Sports HD 2 Max</li><li>beIN Sports HD 3 Max</li><li>beI… ",Arabic,https://www.aljazeera.net/sport/2024/6/21/%d9%85%d9%88%d8%b9%d8%af-%d9%85%d8%a8%d8%a7%d8%b1%d8%a7%d8%a9-%d8%a7%d9%84%d8%a8%d8%b1%d8%aa%d8%ba%d8%a7%d9%84-%d9%88%d8%aa%d8%b1%d9%83%d9%8a%d8%a7-%d9%81%d9%8a-%d9%8a%d9%88%d8%b1%d9%88-2024,1.0,"[0.7601448016066483, 1.3997586639889195]",1.079951732797784
