title,summary,text,language,link,ilr_quantized,ilr_range,ilr_regressed,translated_summary
"Au Kenya, les manifestations tournent à l’émeute","Au moins cinq personnes ont été tuées et le Parlement a été brièvement investi, mardi, lors de protestations contre la réforme des finances du président William Ruto.","Une manifestation dans le centre-ville de Nairobi (Kenya), le 25 juin 2024. BRIAN INGANGA / AP
Il est une poignée de rues, au cur de Nairobi, qui symbolisent le pouvoir. Le Parlement, la Cour suprêm… ",,https://www.lemonde.fr/afrique/article/2024/06/26/au-kenya-les-manifestations-tournent-a-l-emeute_6243702_3212.html,1.5,"[0.34828968529979054, 2.1910261888201257]",1.269657937059958,At least five people were killed and parliament was briefly invaded on Tuesday during protests against the president's financial reforms.
Peut-on se fier au pronostic électoral du citoyen ? La réponse du nouveau modèle du Citizen appliqué aux législatives de 2024,Quand le citoyen se fait « bookmaker » à l’occasion d’un sondage exclusif organisé dans le cadre d’une nouvelle méthode qui met la prévision de l’électeur au cœur du débat politique.,"Selon vous, lors des élections législatives anticipées du 30 juin prochain, quel parti ou bloc politique recevra le plus de suffrages ? Telle était la question posée afin de faire désigner par le cit… ",,https://atlantico.fr/article/decryptage/peut-on-se-fier-au-pronostic-electoral-du-citoyen-la-reponse-du-nouveau-modele-du-citizen-applique-aux-legislatives-de-2024-michael-s-lewis-beck-veronique-jerome-bruno-jerome,2.0,"[1.7256848373782256, 2.1645890975730646]",1.945136967475645,"When the citizen becomes a ""bookmaker"" during an exclusive survey organized as part of a new method which places the prediction of the election at the heart of the poll."
Présidentielle américaine: de nouveaux élus démocrates souhaitent que Joe Biden abandonne la course,"D'après le dernier décompte mis à jour par le New York Times, 18 élus de la Chambre des représentants et un sénateur se sont prononcés pour un retrait de la candidature.","D'après le dernier décompte mis à jour par le New York Times, 18 élus de la Chambre des représentants et un sénateur se sont prononcés pour un retrait de la candidature.
La conférence de presse de J… ",,https://www.bfmtv.com/international/amerique-nord/etats-unis/elections-americaines/presidentielle-americaine-de-nouveaux-elus-democrates-souhaitent-que-joe-biden-abandonne-la-course_AN-202407120691.html,1.0,"[0.8496445858324586, 1.2505923569459023]",1.0501184713891805,"According to the latest count updated by the New York Times, 18 members of the House of Representatives and one senator have voted for withdrawal."
Tentative d’assassinat contre Trump : Biden appelle l’Amérique au calme,"Le président américain Joe Biden a tenu un discours dimanche 14 juillet, après la tentative d’assassinat qui a visé son opposant politique Donald Trump. Il a annoncé avoir ordonné une « enquête indépendante ».","Le président américain s'est adressé solennellement à ses concitoyens. Joe Biden a tenu une allocution dimanche 14 juillet au soir depuis le Bureau ovale de la Maison-Blanche, au lendemain de la tent… ",,https://www.lepoint.fr/monde/tentative-d-assassinat-contre-donald-trump-joe-biden-appelle-l-amerique-au-calme-15-07-2024-2565560_24.php,1.5,"[1.2717752881396658, 1.6369348271162005]",1.4543550576279332,"US President Joe Biden delivered a speech on Sunday, July 14, following the assassination attempt on his political opponent Donald Trump."
"""Personne n’a idée des effets de la carte électorale"" : pourquoi tous les votes ne se valent pas","Dimanche, tous les votes n’auront pas le même poids dans l’urne. Et à ce jeu, les habitants des campagnes n’ont rien à envier aux villes.","Largument sest faufilé de ronds-points en ronds-points. Il était de tous les tracteurs qui voulaient prendre Paris, au début de lannée. Et le voilà qui ressurgit, à lapproche des élections législativ… ",,https://www.lexpress.fr/politique/personne-na-idee-des-effets-de-la-carte-electorale-pourquoi-tous-les-votes-ne-se-valent-pas-D34AQL2MORGPXEHSSYDBTRW3W4/,1.0,"[0.7030203756888023, 1.4949660405186629]",1.0989932081037326,"On Sunday, not all votes will have the same weight in the ballot box. And in this game, rural dwellers have nothing to envy from cities."
"Thomas Struth, photographe : “Les images monumentales viennent vers vous”","Pour son exposition “Nature & Politics”, jusqu’au 26 juillet à la Galerie Marian Goodman, à Paris, le portraitiste des grandes villes s’est rendu dans des laboratoires de pointe. Des lieux étrangement humains.","Pour soutenir le travail de toute une rédaction, abonnez-vousPourquoi voyez-vous ce message ?
 Vous avez choisi de ne pas accepter le dépôt de ""cookies"" sur votre navigateur, qui permettent notammen… ",,https://www.telerama.fr/arts-expositions/thomas-struth-photographe-les-images-monumentales-viennent-vers-vous-7021045.php,1.0,"[0.33574361922053075, 2.107093967965782]",1.2214187935931564,"For his exhibition “Nature & Politics”, until July 26 at the Galerie Marian Goodman in Paris, the portraitist of big cities went to"
Une fusée chinoise retombe près d’habitations en dégageant une fumée toxique,"Un lancement de fusée chinoise a eu lieu au cours du week-end. Si le vol s'est bien passé, permettant de déployer le satellite franco-chinois SVOM dans l'espace, la gestion post-décollage du lanceur a été plus difficile. Le premier étage, notamment, est retom…","Un lancement de fusée chinoise a eu lieu au cours du week-end. Si le vol s’est bien passé, permettant de déployer le satellite franco-chinois SVOM dans l’espace, la gestion post-décollage du lanceur … ",,https://www.numerama.com/sciences/1765312-une-fusee-chinoise-retombe-pres-dhabitations-en-degageant-une-fumee-toxique.html,1.5,"[0.4380573089994053, 2.137165614600357]",1.287611461799881,"A Chinese rocket launch took place over the weekend. If the flight went well, allowing the deployment of the Franco-Chinese SVOM satellite in"
Euro 2024 : la Géorgie se qualifie en battant le Portugal et offre une bouffée d’air à son peuple,"L’équipe de Willy Sagnol a réussi l’exploit de rallier les huitièmes de finale en battant le Portugal (2-0), mercredi. La population georgienne se prend de passion pour son équipe nationale. Une mobilisation que tente de récupérer le pouvoir géorgien, contest…","Les joueurs géorgiens célèbrent leur qualification pour les huitièmes de finale de lEuro après leur victoire contre le Portugal à Gelsenkirchen, en Allemagne, le 26 juin 2024. KENZO TRIBOUILLARD / AF… ",,https://www.lemonde.fr/sport/article/2024/06/27/euro-2024-la-georgie-se-qualifie-en-battant-le-portugal-et-offre-une-bouffee-d-air-a-son-peuple_6244135_3242.html,1.5,"[0.6165452674105873, 2.0300728395536476]",1.3233090534821177,Willy Sagnol's team achieved the feat of reaching the last 16 by beating Portugal (2-0) on Wednesday. The Georgian population is preparing
Trump investi candidat républicain: quelles sont les prochaines étapes avant l'élection de novembre?,"Après la convention du parti républicain qui se tient jusqu'à jeudi à Milwaukee, les prochains mois vont être marqués par la convention démocrate et la tenue d'un nouveau débat entre Trump et Biden.","Après la convention du parti républicain qui se tient jusqu'à jeudi à Milwaukee, les prochains mois vont être marqués par la convention démocrate et la tenue d'un nouveau débat entre Trump et Biden.
… ",,https://www.bfmtv.com/international/amerique-nord/etats-unis/elections-americaines/trump-investi-candidat-republicain-quelles-sont-les-prochaines-etapes-avant-l-election-de-novembre_AN-202407160654.html,1.5,"[1.3117776370830905, 1.8137039381948492]",1.5627407876389698,"After the Republican Party convention, which runs until Thursday in Milwaukee, the next few months will be marked by the Democratic convention and the"
"Tentative d'assassinat contre Trump : Obama, Elon Musk, Benyamin Netanyahu... les réactions se multiplient à travers le monde","Apres la tentative d'assassinat dont a ete victime l'ancien president americain ce 13 juillet, les reactions ne sont pas faites attendre de la part des dirigeants du monde entier.","« J'ai été touché par une balle qui a transpercé le haut de mon oreille. J'ai tout de suite su que quelque chose n'allait pas quand j'ai entendu un sifflement, des tirs, et j'ai immédiatement senti l… ",,https://www.lepoint.fr/monde/tentative-d-assassinat-contre-trump-obama-elon-musk-benyamin-netanyahu-les-reactions-se-multiplient-a-travers-le-monde-14-07-2024-2565511_24.php,1.5,"[1.1183510640332566, 2.1360815599445724]",1.6272163119889145,"Following the assassination attempt on the former American president on July 13, reactions were not long in coming from"
